2025.11.16 08:56:04 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\AuthController.java. Using fallback presentation compiler.
2025.11.16 08:56:04 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\AuthController.java. Using fallback presentation compiler.
2025.11.16 08:56:04 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:56:04 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:56:06 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:56:06 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaController.java. Using fallback presentation compiler.
2025.11.16 08:56:06 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaController.java. Using fallback presentation compiler.
2025.11.16 08:56:06 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaController.java. Using fallback presentation compiler.
2025.11.16 08:56:06 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:56:07 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:56:50 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Controller\ZapatillaVariacionController.java. Using fallback presentation compiler.
2025.11.16 08:56:50 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Interfaces\ZapatillaService.java. Using fallback presentation compiler.
2025.11.16 08:56:50 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Interfaces\ZapatillaService.java. Using fallback presentation compiler.
2025.11.16 08:56:50 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Interfaces\ZapatillaService.java. Using fallback presentation compiler.
2025.11.16 08:56:50 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\UrbanfeetApplication.java. Using fallback presentation compiler.
2025.11.16 08:56:51 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\UrbanfeetApplication.java. Using fallback presentation compiler.
2025.11.16 08:57:10 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\UrbanfeetApplication.java. Using fallback presentation compiler.
2025.11.16 08:57:10 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Implements\ZapatillaServiceImpl.java. Using fallback presentation compiler.
2025.11.16 08:57:10 INFO  no build target found for C:\Users\PC\Downloads\Proyecto_UrbanFeet1\src\main\java\com\urbanfeet_backend\Services\Implements\ZapatillaServiceImpl.java. Using fallback presentation compiler.
